NX,NY,NUM_Points,Approach,Threads,Interp_Time,Mover_Time,Total_Time
500,200,14000000,1,1,0.683115,0.936513,1.619628
500,200,14000000,1,2,0.643175,0.483463,1.126639
500,200,14000000,1,4,0.664016,0.361562,1.025578
500,200,14000000,1,8,0.678278,0.378576,1.056854
500,200,14000000,1,16,0.670766,0.398571,1.069337
500,200,14000000,2,1,0.651714,0.893913,1.545628
500,200,14000000,2,2,0.664341,0.469237,1.133578
500,200,14000000,2,4,0.649507,0.367951,1.017458
500,200,14000000,2,8,0.679380,0.367288,1.046668
500,200,14000000,2,16,0.656849,0.381704,1.038553
