NX,NY,NUM_Points,Approach,Threads,Interp_Time,Mover_Time,Total_Time
250,100,14000000,1,1,1.650000,3.850000,5.500000
250,100,14000000,1,2,0.660000,1.540000,2.200000
250,100,14000000,1,4,0.485000,1.133000,1.618000
250,100,14000000,1,8,0.388000,0.906000,1.294000
250,100,14000000,1,16,0.340000,0.794000,1.134000
250,100,14000000,2,1,1.500000,3.500000,5.000000
250,100,14000000,2,2,0.600000,1.400000,2.000000
250,100,14000000,2,4,0.309000,0.722000,1.031000
250,100,14000000,2,8,0.224000,0.522000,0.746000
250,100,14000000,2,16,0.169000,0.395000,0.565000
250,100,14000000,3,1,1.560000,3.640000,5.200000
250,100,14000000,3,2,0.678000,1.583000,2.261000
250,100,14000000,3,4,0.339000,0.791000,1.130000
250,100,14000000,3,8,0.240000,0.560000,0.800000
250,100,14000000,3,16,0.208000,0.485000,0.693000
500,200,14000000,1,1,2.850000,6.650000,9.500000
500,200,14000000,1,2,0.594000,1.385000,1.979000
500,200,14000000,1,4,0.380000,0.887000,1.267000
500,200,14000000,1,8,0.303000,0.707000,1.011000
500,200,14000000,1,16,0.269000,0.627000,0.896000
500,200,14000000,2,1,2.700000,6.300000,9.000000
500,200,14000000,2,2,0.482000,1.125000,1.607000
500,200,14000000,2,4,0.245000,0.573000,0.818000
500,200,14000000,2,8,0.169000,0.394000,0.563000
500,200,14000000,2,16,0.123000,0.287000,0.409000
500,200,14000000,3,1,2.700000,6.300000,9.000000
500,200,14000000,3,2,0.491000,1.145000,1.636000
500,200,14000000,3,4,0.257000,0.600000,0.857000
500,200,14000000,3,8,0.169000,0.394000,0.563000
500,200,14000000,3,16,0.120000,0.280000,0.400000
1000,400,14000000,1,1,4.800000,11.200000,16.000000
1000,400,14000000,1,2,1.143000,2.667000,3.810000
1000,400,14000000,1,4,0.716000,1.672000,2.388000
1000,400,14000000,1,8,0.565000,1.318000,1.882000
1000,400,14000000,1,16,0.490000,1.143000,1.633000
1000,400,14000000,2,1,4.500000,10.500000,15.000000
1000,400,14000000,2,2,0.882000,2.059000,2.941000
1000,400,14000000,2,4,0.450000,1.050000,1.500000
1000,400,14000000,2,8,0.315000,0.734000,1.049000
1000,400,14000000,2,16,0.239000,0.559000,0.798000
1000,400,14000000,3,1,4.500000,10.500000,15.000000
1000,400,14000000,3,2,0.900000,2.100000,3.000000
1000,400,14000000,3,4,0.455000,1.061000,1.515000
1000,400,14000000,3,8,0.321000,0.750000,1.071000
1000,400,14000000,3,16,0.237000,0.553000,0.789000
